[2025-08-24 14:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 15:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 16:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 17:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 18:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 19:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 20:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 21:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 22:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-24 23:00:02] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-25 00:00:01] Column0=0 | Column1=2025-08-24T00:46:34 | Column2=2025-08-23T19:05:00
[2025-08-25 01:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 02:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 03:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 04:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 05:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 06:00:02] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 07:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 08:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 09:00:02] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 10:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 11:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 12:00:02] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 13:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 14:00:02] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 15:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 16:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 17:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 18:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 19:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 20:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 21:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 22:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-25 23:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-26 00:00:01] Column0=0 | Column1=2025-08-25T00:41:49 | Column2=2025-08-24T19:05:00
[2025-08-26 01:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 02:00:02] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 03:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 04:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 05:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 06:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 07:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 08:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 09:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 10:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 11:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 12:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 13:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 14:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 15:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 16:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 17:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 18:00:02] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 19:00:02] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 20:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 21:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 22:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-26 23:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-27 00:00:01] Column0=0 | Column1=2025-08-26T00:49:07 | Column2=2025-08-25T19:05:00
[2025-08-27 01:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 02:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 03:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 04:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 05:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 06:00:02] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 07:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 08:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 09:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 10:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 11:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 12:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 13:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 14:00:02] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 15:00:02] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 16:00:02] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
[2025-08-27 17:00:01] Column0=0 | Column1=2025-08-27T00:43:39 | Column2=2025-08-26T19:05:00
